track_id,enter_ts,exit_ts,dwell_seconds,enter_iso,exit_iso
279,1780327523.691395,1780327533.129146,9.44,2026-06-01T15:25:23+00:00,2026-06-01T15:25:33+00:00
280,1780327523.691395,1780327533.843481,10.15,2026-06-01T15:25:23+00:00,2026-06-01T15:25:33+00:00
275,1780327527.819885,1780327527.850782,0.03,2026-06-01T15:25:27+00:00,2026-06-01T15:25:27+00:00
262,1780327527.9054568,1780327533.248204,5.34,2026-06-01T15:25:27+00:00,2026-06-01T15:25:33+00:00
285,1780327528.144105,1780327528.353856,0.21,2026-06-01T15:25:28+00:00,2026-06-01T15:25:28+00:00
287,1780327528.2734752,1780327554.4103749,26.14,2026-06-01T15:25:28+00:00,2026-06-01T15:25:54+00:00
291,1780327528.32789,1780327533.033194,4.71,2026-06-01T15:25:28+00:00,2026-06-01T15:25:33+00:00
292,1780327528.353856,1780327528.890454,0.54,2026-06-01T15:25:28+00:00,2026-06-01T15:25:28+00:00
294,1780327528.485466,1780327528.7826161,0.3,2026-06-01T15:25:28+00:00,2026-06-01T15:25:28+00:00
296,1780327528.835884,1780327528.8630788,0.03,2026-06-01T15:25:28+00:00,2026-06-01T15:25:28+00:00
295,1780327528.835884,1780327533.724133,4.89,2026-06-01T15:25:28+00:00,2026-06-01T15:25:33+00:00
297,1780327528.890454,1780327538.756007,9.87,2026-06-01T15:25:28+00:00,2026-06-01T15:25:38+00:00
292,1780327532.880262,1780327533.033194,0.15,2026-06-01T15:25:32+00:00,2026-06-01T15:25:33+00:00
298,1780327532.936351,1780327554.26789,21.33,2026-06-01T15:25:32+00:00,2026-06-01T15:25:54+00:00
270,1780327532.96109,1780327543.930808,10.97,2026-06-01T15:25:32+00:00,2026-06-01T15:25:43+00:00
299,1780327533.033194,1780327538.635891,5.6,2026-06-01T15:25:33+00:00,2026-06-01T15:25:38+00:00
301,1780327533.295632,1780327533.9150028,0.62,2026-06-01T15:25:33+00:00,2026-06-01T15:25:33+00:00
302,1780327533.4376252,1780327533.724133,0.29,2026-06-01T15:25:33+00:00,2026-06-01T15:25:33+00:00
